employee_name,job_roles,salary
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,80325
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,81725
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,80869
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,82220
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,77286
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,77322
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,77328
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,78934
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,78251
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,80656
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,80262
Thomas ParsonsBrandon DicksonHasan BarlowZack RodriguezBertha BarkerYasin SmallOisin NelsonTalia DominguezIsobel JeffersonRiya Pratt,LondonNew YorkSan FranciscoCairoShanghai,81844
